================================================================
   TABLE DE MAPPING DES ICÔNES -- Feather -> Lucide
   @gladysassistant/theme-optimized
================================================================

Date           : 10/03/2026 23:51:26
Version Lucide : 0.577.0   (source : lucide-static)
Icônes Feather : 263
Icônes Lucide  : 1951

Légende des statuts :
  [=] IDENTIQUE  -- même nom, seul le préfixe change (.fe- -> .icon-)
  [>] RENOMMEE   -- nom différent dans Lucide
  [?] SUPPRIMEE  -- absente de Lucide, fallback vers icon-file-question
  [+] NOUVELLE   -- ajoutée dans Lucide, sans équivalent Feather

========================================================================
A. TABLE COMPLÈTE -- TOUTES LES ICÔNES FEATHER (avant -> après)
========================================================================

Statut        Feather (avant)                 Lucide (après)
------------------------------------------------------------------------
[=] IDENTIQUE fe-activity                     icon-activity
[=] IDENTIQUE fe-airplay                      icon-airplay
[>] RENOMMEE  fe-alert-circle                 icon-circle-alert
[>] RENOMMEE  fe-alert-octagon                icon-octagon-alert
[>] RENOMMEE  fe-alert-triangle               icon-triangle-alert
[=] IDENTIQUE fe-align-center                 icon-align-center
[=] IDENTIQUE fe-align-justify                icon-align-justify
[=] IDENTIQUE fe-align-left                   icon-align-left
[=] IDENTIQUE fe-align-right                  icon-align-right
[=] IDENTIQUE fe-anchor                       icon-anchor
[=] IDENTIQUE fe-aperture                     icon-aperture
[=] IDENTIQUE fe-arrow-down                   icon-arrow-down
[>] RENOMMEE  fe-arrow-down-circle            icon-circle-arrow-down
[=] IDENTIQUE fe-arrow-down-left              icon-arrow-down-left
[=] IDENTIQUE fe-arrow-down-right             icon-arrow-down-right
[=] IDENTIQUE fe-arrow-left                   icon-arrow-left
[>] RENOMMEE  fe-arrow-left-circle            icon-circle-arrow-left
[=] IDENTIQUE fe-arrow-right                  icon-arrow-right
[>] RENOMMEE  fe-arrow-right-circle           icon-circle-arrow-right
[=] IDENTIQUE fe-arrow-up                     icon-arrow-up
[>] RENOMMEE  fe-arrow-up-circle              icon-circle-arrow-up
[=] IDENTIQUE fe-arrow-up-left                icon-arrow-up-left
[=] IDENTIQUE fe-arrow-up-right               icon-arrow-up-right
[=] IDENTIQUE fe-at-sign                      icon-at-sign
[=] IDENTIQUE fe-award                        icon-award
[=] IDENTIQUE fe-bar-chart                    icon-bar-chart
[=] IDENTIQUE fe-bar-chart-2                  icon-bar-chart-2
[=] IDENTIQUE fe-battery                      icon-battery
[=] IDENTIQUE fe-battery-charging             icon-battery-charging
[=] IDENTIQUE fe-bell                         icon-bell
[=] IDENTIQUE fe-bell-off                     icon-bell-off
[=] IDENTIQUE fe-bluetooth                    icon-bluetooth
[=] IDENTIQUE fe-bold                         icon-bold
[=] IDENTIQUE fe-book                         icon-book
[=] IDENTIQUE fe-book-open                    icon-book-open
[=] IDENTIQUE fe-bookmark                     icon-bookmark
[=] IDENTIQUE fe-box                          icon-box
[=] IDENTIQUE fe-briefcase                    icon-briefcase
[=] IDENTIQUE fe-calendar                     icon-calendar
[=] IDENTIQUE fe-camera                       icon-camera
[=] IDENTIQUE fe-camera-off                   icon-camera-off
[=] IDENTIQUE fe-cast                         icon-cast
[=] IDENTIQUE fe-check                        icon-check
[>] RENOMMEE  fe-check-circle                 icon-circle-check
[>] RENOMMEE  fe-check-square                 icon-square-check
[=] IDENTIQUE fe-chevron-down                 icon-chevron-down
[=] IDENTIQUE fe-chevron-left                 icon-chevron-left
[=] IDENTIQUE fe-chevron-right                icon-chevron-right
[=] IDENTIQUE fe-chevron-up                   icon-chevron-up
[=] IDENTIQUE fe-chevrons-down                icon-chevrons-down
[=] IDENTIQUE fe-chevrons-left                icon-chevrons-left
[=] IDENTIQUE fe-chevrons-right               icon-chevrons-right
[=] IDENTIQUE fe-chevrons-up                  icon-chevrons-up
[=] IDENTIQUE fe-chrome                       icon-chrome
[=] IDENTIQUE fe-circle                       icon-circle
[=] IDENTIQUE fe-clipboard                    icon-clipboard
[=] IDENTIQUE fe-clock                        icon-clock
[=] IDENTIQUE fe-cloud                        icon-cloud
[=] IDENTIQUE fe-cloud-drizzle                icon-cloud-drizzle
[=] IDENTIQUE fe-cloud-lightning              icon-cloud-lightning
[=] IDENTIQUE fe-cloud-off                    icon-cloud-off
[=] IDENTIQUE fe-cloud-rain                   icon-cloud-rain
[=] IDENTIQUE fe-cloud-snow                   icon-cloud-snow
[=] IDENTIQUE fe-code                         icon-code
[=] IDENTIQUE fe-codepen                      icon-codepen
[=] IDENTIQUE fe-command                      icon-command
[=] IDENTIQUE fe-compass                      icon-compass
[=] IDENTIQUE fe-copy                         icon-copy
[=] IDENTIQUE fe-corner-down-left             icon-corner-down-left
[=] IDENTIQUE fe-corner-down-right            icon-corner-down-right
[=] IDENTIQUE fe-corner-left-down             icon-corner-left-down
[=] IDENTIQUE fe-corner-left-up               icon-corner-left-up
[=] IDENTIQUE fe-corner-right-down            icon-corner-right-down
[=] IDENTIQUE fe-corner-right-up              icon-corner-right-up
[=] IDENTIQUE fe-corner-up-left               icon-corner-up-left
[=] IDENTIQUE fe-corner-up-right              icon-corner-up-right
[=] IDENTIQUE fe-cpu                          icon-cpu
[=] IDENTIQUE fe-credit-card                  icon-credit-card
[=] IDENTIQUE fe-crop                         icon-crop
[=] IDENTIQUE fe-crosshair                    icon-crosshair
[=] IDENTIQUE fe-database                     icon-database
[=] IDENTIQUE fe-delete                       icon-delete
[=] IDENTIQUE fe-disc                         icon-disc
[=] IDENTIQUE fe-dollar-sign                  icon-dollar-sign
[=] IDENTIQUE fe-download                     icon-download
[=] IDENTIQUE fe-download-cloud               icon-download-cloud
[=] IDENTIQUE fe-droplet                      icon-droplet
[>] RENOMMEE  fe-edit                         icon-pencil
[>] RENOMMEE  fe-edit-2                       icon-pen
[>] RENOMMEE  fe-edit-3                       icon-pen-line
[=] IDENTIQUE fe-external-link                icon-external-link
[=] IDENTIQUE fe-eye                          icon-eye
[=] IDENTIQUE fe-eye-off                      icon-eye-off
[=] IDENTIQUE fe-facebook                     icon-facebook
[=] IDENTIQUE fe-fast-forward                 icon-fast-forward
[=] IDENTIQUE fe-feather                      icon-feather
[=] IDENTIQUE fe-file                         icon-file
[=] IDENTIQUE fe-file-minus                   icon-file-minus
[=] IDENTIQUE fe-file-plus                    icon-file-plus
[=] IDENTIQUE fe-file-text                    icon-file-text
[=] IDENTIQUE fe-film                         icon-film
[=] IDENTIQUE fe-filter                       icon-filter
[=] IDENTIQUE fe-flag                         icon-flag
[=] IDENTIQUE fe-folder                       icon-folder
[=] IDENTIQUE fe-folder-minus                 icon-folder-minus
[=] IDENTIQUE fe-folder-plus                  icon-folder-plus
[=] IDENTIQUE fe-git-branch                   icon-git-branch
[>] RENOMMEE  fe-git-commit                   icon-git-commit-horizontal
[=] IDENTIQUE fe-git-merge                    icon-git-merge
[=] IDENTIQUE fe-git-pull-request             icon-git-pull-request
[=] IDENTIQUE fe-github                       icon-github
[=] IDENTIQUE fe-gitlab                       icon-gitlab
[=] IDENTIQUE fe-globe                        icon-globe
[=] IDENTIQUE fe-grid                         icon-grid
[=] IDENTIQUE fe-hard-drive                   icon-hard-drive
[=] IDENTIQUE fe-hash                         icon-hash
[=] IDENTIQUE fe-headphones                   icon-headphones
[=] IDENTIQUE fe-heart                        icon-heart
[>] RENOMMEE  fe-help-circle                  icon-circle-help
[=] IDENTIQUE fe-home                         icon-home
[=] IDENTIQUE fe-image                        icon-image
[=] IDENTIQUE fe-inbox                        icon-inbox
[=] IDENTIQUE fe-info                         icon-info
